facility_id,overture_id,facility_name,name_review_flag,county,city,county_source,centroid_lon,centroid_lat,area_ft2,label,subclass,confidence_score,confidence_tier,is_warehouse,warehouse_prob,source,scag_land_use_class,APN,costar_match_confidence,intensity_tier,is_high_cube,is_likely_crossdock,ops_start_year,year_source,year_confidence,lodes_onset_year,year_built,temporal_use,suspect_stale_year
SCAG-WH-00585,ec6d494b-fffe-49fc-a7ba-ef18c917b425,,False,LA,Carson,original,-118.227283,33.843589,179567,confirmed,FI-IND,65.0,Medium,0,0.395,overture,warehouse,7318014014,none,Medium,0.0,0.0,1984,costar,high,2020,1984,usable,False
SCAG-WH-00586,,,False,LA,Norwalk,original,-118.056539,33.889759,179526,confirmed,FI-IND,65.0,Medium,0,0.382,osm,warehouse,8082033038,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00587,ea12f58f-ac1c-47f8-b5b7-9a8a093b667e,,False,LA,Commerce,original,-118.16781,33.985155,179073,confirmed,FI-IND,65.0,Medium,0,0.393,overture,warehouse,6332013037,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00588,7aa21895-eb53-44db-99bd-6f1fd1e9fea4,,False,LA,Vernon,original,-118.223992,34.007351,178716,confirmed,FI-IND,35.0,Medium,0,0.386,overture,industrial,6302020040,none,Low,0.0,0.0,1936,costar,high,,1936,usable,False
SCAG-WH-00589,0e311d7e-3e78-4fff-84f2-b977d4cb2015,,False,LA,Pomona,original,-117.738511,34.059992,178654,confirmed,ambiguous,35.0,Medium,0,0.392,overture,industrial,8337018042,none,,,,2022,lodes,medium,2022,,usable,False
SCAG-WH-00590,5f8a90a2-0306-40d3-a196-d01645d65dc4,,False,LA,Compton,original,-118.235046,33.875078,178562,confirmed,FI-IND,35.0,High,1,0.722,overture,industrial,7318013008,medium,Medium,0.0,0.0,1975,costar,high,2020,1975,usable,False
SCAG-WH-00591,74089928-0f64-4d6f-ac30-2cc9c9ced094,,False,LA,Commerce,original,-118.147438,33.988225,178434,confirmed,FI-IND,35.0,High,1,0.804,overture,industrial,6332009016,medium,High,0.0,0.0,1996,costar,high,,1996,usable,False
SCAG-WH-00592,dd4275b3-a4f8-466c-acfe-0f1b7cee0c77,,False,LA,Commerce,original,-118.152438,33.979947,178361,confirmed,FI-IND,65.0,Medium,0,0.388,overture,warehouse,6332017033,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00593,27eabe40-6bb4-41eb-a5db-1a6b0b87f5ad,,False,LA,Unincorporated,original,-118.23119,33.860928,178245,confirmed,FI-IND,65.0,Medium,1,0.552,overture,warehouse,7318009057,medium,High,0.0,0.0,1986,costar,high,2014,1986,usable,True
SCAG-WH-00594,02b0fb75-bbaf-46f6-9b50-3f8b8d62354e,,False,LA,Carson,original,-118.227924,33.842328,178170,confirmed,FI-IND,65.0,Medium,0,0.384,overture,warehouse,7318014024,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
